central_asset_id,site_name,suburb,Long,Lat
PG000099,Keilor Preschool,Keilor,144.833921,-37.719564
PG000101,Kenwood Green Reserve,Derrimut,144.768573,-37.794506
PG000102,Killeen Street Child Care Centre,Sunshine West,144.819104,-37.797252
PG000103,Killeen Street Child Care Centre,Sunshine West,144.81902,-37.797149
PG000104,Kings Park Preschool,Kings Park,144.77531,-37.731419
PG000105,Kings Park Reserve,Kings Park,144.775744,-37.733498
PG000107,Kororoit Creek (NS Station - Billingham),Deer Park,144.766811,-37.765488
PG000108,Kurung Drive Reserve,Kings Park,144.76751,-37.730311
PG000109,Larisa Reserve,St Albans,144.818549,-37.749738
PG000110,Lillypilly Crescent Reserve,Kings Park,144.779224,-37.728632
PG000111,Lionheart Reserve (BCC),Taylors Lakes,144.791165,-37.709535
PG000112,Lowe Crescent Reserve,Sunshine,144.844658,-37.78732
PG000113,Dumosa/Magnolia Street Access Way,St Albans,144.822474,-37.753829
PG000114,Maple Crescent Reserve,St Albans,144.811286,-37.753692
PG000115,Whiteley Parade Reserve,Taylors Lakes,144.77228,-37.6898
PG000116,McLeod/Stevens Reserve,St Albans,144.785344,-37.736027
PG000117,Monash/Pizzey Reserve,Sunshine,144.839159,-37.788714
PG000118,Monmia Preschool,Keilor Downs,144.79247,-37.717607
PG000119,Moorland Park,Cairnlea,144.784009,-37.749643
PG000121,Myuna Drive Reserve,Kings Park,144.778034,-37.73591
PG000122,Nickson Gardens,St Albans,144.805396,-37.761273
PG000123,Noble Court Reserve,Sunshine West,144.793537,-37.796252
PG000124,Norm Talintyre Reserve,Sunshine West,144.812937,-37.800104
PG000125,North Sunshine Preschool,Sunshine North,144.838046,-37.775832
PG000126,Phoenix Street Childrens Centre,Sunshine North,144.838504,-37.775783
PG000127,Northumberland Road Reserve,Sunshine North,144.84252,-37.768811
PG000128,Conrad Street Reserve,St Albans,144.79844,-37.732796
PG000129,O'Connors Paddock,Cairnlea,144.779735,-37.754765
PG000130,Odessa Avenue Reserve,Keilor Downs,144.809541,-37.716066
PG000131,Orama Street Child Care Centre,Deer Park,144.765291,-37.768026
PG000132,Orchid Square Reserve,Sydenham,144.765012,-37.706424
PG000133,Overton Lea Blvd Reserve,Sydenham,144.763723,-37.703544
PG000135,Packard Street Reserve,Keilor Downs,144.80275,-37.727557
PG000136,Padley Park,St Albans,144.809238,-37.739425
PG000137,JR Parsons Reserve,Sunshine,144.83454,-37.794982
PG000138,Patterson Avenue Reserve,Keilor,144.826171,-37.717457
PG000139,Patterson Gardens,Keilor,144.824723,-37.721598
PG000140,Pioneer Park,Sydenham,144.761911,-37.687547
PG000141,Pollard Gardens,Sunshine,144.830607,-37.789191
PG000143,Remus Way Child Care Centre,Taylors Lakes,144.785885,-37.70557
PG000144,Remus Way Child Care Centre,Taylors Lakes,144.786202,-37.705701
PG000146,Kellie O’Connell Kindergarten,Sunshine West,144.801342,-37.783294
PG000148,Robert Bruce Reserve,Deer Park,144.775904,-37.754727
PG000149,Robinson Court Reserve,Delahey,144.780298,-37.713045
PG000150,Roseleigh Reserve,Sydenham,144.774597,-37.707746
PG000018,Bothwell Green Reserve,Derrimut,144.756583,-37.792062
PG000152,Roussac Reserve,Sunshine North,144.82759,-37.756296
PG000153,Rutherglen Way Reserve,Taylors Lakes,144.807022,-37.705203
PG000154,Salamander Drive Reserve,Taylors Lakes,144.789487,-37.692477
PG000155,Santa Monica Drive Reserve,Keilor Lodge,144.804369,-37.699801
PG000156,Sassella Park Playgroup,Deer Park,144.77449,-37.76467
PG000157,Stradbroke Drive Reserve,St Albans,144.809289,-37.749919
PG000159,Selwyn Park,Albion,144.814294,-37.782118
PG000160,Shearwater Meadow Reserve,Cairnlea,144.785373,-37.75636
PG000161,Singer Avenue Reserve,Keilor Downs,144.802093,-37.716491
PG000162,Solomon Drive Reserve,Keilor,144.830157,-37.722168
PG000163,South Sunshine Preschool,Sunshine,144.824953,-37.79764
PG000165,St Albans East Preschool,St Albans,144.816734,-37.74309
PG000166,St Albans North Family Day Care Resource,St Albans,144.807818,-37.73302
PG000168,St Albans West Preschool,St Albans,144.785729,-37.73568
PG000169,St Andrews Park,Deer Park,144.769662,-37.78015
PG000170,Stagecoach Reserve,Sydenham,144.767393,-37.702268
PG000171,Station Waters Reserve,Cairnlea,144.778876,-37.761234
PG000172,Stockton Run Reserve,Cairnlea,144.779479,-37.756666
PG000173,Suffolk Road Reserve,Sunshine North,144.83921,-37.772402
PG000174,Sunshine Heights Preschool,Sunshine West,144.816148,-37.79029
PG000175,Sunshine Heights Preschool,Sunshine West,144.815824,-37.790409
PG000176,Sunshine Park Estate Preschool,St Albans,144.810609,-37.747273
PG000177,Ardeer Community Park,Ardeer,144.806065,-37.782575
PG000178,Sydenham Children's Hub,Sydenham,144.763221,-37.701949
PG000179,Sydenham Children's Hub,Sydenham,144.763448,-37.70199
PG000182,Tamar Drive Reserve,Deer Park,144.762684,-37.756485
PG000183,Tarella Drive Reserve,Keilor Downs,144.814603,-37.723788
PG000184,Taylors Lakes Community Centre,Taylors Lakes,144.799511,-37.71
PG000185,Taylors Lakes Community Centre,Taylors Lakes,144.79894,-37.710031
PG000186,Terrye Court Reserve,Hillside,144.753751,-37.697778
PG000187,Thea Court Reserve,Keilor Park,144.858379,-37.71994
PG000189,Verona Drive Reserve,Keilor Lodge,144.796979,-37.69806
PG000190,Wahgunyah Reserve,St Albans,144.826495,-37.749749
PG000191,Waterfield Park (Stage 1),Cairnlea,144.783879,-37.760309
PG000192,West Esplanade Reserve,St Albans,144.797272,-37.741922
PG000193,Westerngate Preschool,Deer Park,144.762655,-37.752566
PG000194,Westvale Community Centre,Kings Park,144.779112,-37.737301
PG000195,Wheelahan Gardens,Sunshine,144.837039,-37.785835
PG000196,Willis Street Preschool,St Albans,144.804415,-37.751987
PG000197,Willys/Sunshine Avenue Reserve,Keilor Downs,144.79484,-37.715939
PG000198,Albanvale Primary School,Albanvale,144.775387,-37.744997
PG000199,Creek Area (Gurnung Drive North),Cairnlea,144.781353,-37.764167
PG000200,Taylors Creek Linear Park. Parmelia to S,Taylors Lakes,144.792989,-37.702724
PG000201,Jones Creek Wetlands,St Albans,144.792831,-37.747538
PG000202,Keilor Recreation Reserve,Keilor,144.832189,-37.716973
PG000203,Sassella Park,Deer Park,144.774965,-37.763466
PG000204,Arthur Street Reserve,St Albans,144.806034,-37.733845
PG000205,Matthews Hill Reserve,Sunshine,144.840091,-37.7937
PG000206,Isabella Williams Reserve,Deer Park,144.758148,-37.751047
PG000207,Buckingham Reserve,Sunshine West,144.82895,-37.798806
PG000208,Ainsworth Reserve,Sunshine West,144.800337,-37.786247
