"Site_Code","Site_Name","Category","Area","Long","Lat"
"P0199","Capri/Porter Reserve","Local Park",1927.18,144.775731,-37.758706
"P0200","Nicholson/Talintyre Reserve","Local Park",2538.21,144.808499,-37.79794
"P0205","Robinson Court Reserve","Neighbourhood Park",2725.95,144.780227,-37.713132
"P0208","Ulmara Place Reserve and Access Way","Local Park",1577.08,144.81356,-37.726559
"P0210","Hume Drive Retarding Basin","Local Park",3036.29,144.781015,-37.710861
"P0211","Kamarooka Street Heritage Reserve","Park / Reserve",1609.84,144.820717,-37.780205
"P3002","Calder Park Drive/Victoria Easement","Park / Reserve",1186.95,144.759395,-37.683992
"P3007","Frost/Taylors Road Easement","Local Park",8735.22,144.771888,-37.725085
"P0047","Cranbourne Avenue Reserve","Park / Reserve",531.00,144.826954,-37.768257
"P0189","Elford Green Reserve","Neighbourhood Park",7373.88,144.793387,-37.764736
"P0073","Grantham Green Reserve","Neighbourhood Park",5930.70,144.820332,-37.755797
"P0187","Lavender Park","Local Park",4051.44,144.790657,-37.760755
"P0192","Lewis/Saliba Reserve","Local Park",1542.43,144.816011,-37.798342
"P0188","Linear Park","Local Park",5566.18,144.79522,-37.761193
"P0181","Longwood Green Reserve","Local Park",11935.25,144.781589,-37.751269
"P0102","Moonstone/Laurel Reserve","Park / Reserve",1391.01,144.819723,-37.754978
"P0175","O'Connors Paddock","Neighbourhood Park",10014.77,144.779604,-37.754776
"P0186","Peppermint Grove  Reserve","Local Park",6442.84,144.797366,-37.762456
"P0178","Roseleigh Reserve","Suburban Park",21347.22,144.773785,-37.707759
"P0190","Waterfield Park - Stage 2","Local Park",25178.52,144.786367,-37.760741
"P0180","Waterfield Park - Stage 1","Neighbourhood Park",54385.04,144.78351,-37.761793
"P0191","Keilor Lodge Reserve","Neighbourhood Park",34965.73,144.777121,-37.689238
"P0093","Lionheart Reserve (BCC)","Neighbourhood Park",19321.49,144.79171,-37.709079
"P0194","Lionheart Reserve (EDU)","Park / Reserve",26444.62,144.791558,-37.7074
"P0113","Packard Street Reserve","Suburban Park",10478.88,144.803155,-37.727681
"P0122","Reed Crescent Reserve","Local Park",3235.92,144.783285,-37.700638
"P0123","Rita Street Reserve","Neighbourhood Park",19332.14,144.791865,-37.747115
"P0125","Roussac Reserve","Suburban Park",15552.90,144.82825,-37.756718
"P0114","Padley Park","Neighbourhood Park",6999.41,144.809101,-37.739497
"P0127","Rutherglen Way Reserve","Neighbourhood Park",7353.62,144.806619,-37.704844
"P0128","Santa Monica Drive Reserve","Neighbourhood Park",3266.69,144.804255,-37.699957
"P0132","Singer Avenue Reserve","Neighbourhood Park",9450.30,144.801599,-37.716727
"P0134","Stagecoach Reserve","Neighbourhood Park",16483.77,144.768021,-37.702626
